filename,class_ Cow,class_ Dog,class_ Frog,class_ Pig,class_ Rooster
5-234879-B.wav,False,False,False,False,True
1-208757-A.wav,False,False,False,True,False
1-208757-B.wav,False,False,False,True,False
1-208757-C.wav,False,False,False,True,False
1-208757-D.wav,False,False,False,True,False
1-208757-E.wav,False,False,False,True,False
1-260640-A.wav,False,False,False,True,False
1-260640-B.wav,False,False,False,True,False
1-260640-C.wav,False,False,False,True,False
2-158746-A.wav,False,False,False,True,False
2-158746-B.wav,False,False,False,True,False
2-158746-C.wav,False,False,False,True,False
2-158746-D.wav,False,False,False,True,False
2-166644-A.wav,False,False,False,True,False
2-166644-B.wav,False,False,False,True,False
2-166644-C.wav,False,False,False,True,False
2-37870-A.wav,False,False,False,True,False
3-233151-A.wav,False,False,False,True,False
3-253081-A.wav,False,False,False,True,False
3-253084-A.wav,False,False,False,True,False
3-253084-B.wav,False,False,False,True,False
3-253084-C.wav,False,False,False,True,False
3-253084-D.wav,False,False,False,True,False
3-253084-E.wav,False,False,False,True,False
3-257858-A.wav,False,False,False,True,False
4-132383-A.wav,False,False,False,True,False
4-132383-B.wav,False,False,False,True,False
4-147240-A.wav,False,False,False,True,False
4-147240-B.wav,False,False,False,True,False
4-234644-A.wav,False,False,False,True,False
4-250869-A.wav,False,False,False,True,False
4-250869-B.wav,False,False,False,True,False
4-250869-C.wav,False,False,False,True,False
5-103415-A.wav,False,False,False,True,False
5-103416-A.wav,False,False,False,True,False
5-103418-A.wav,False,False,False,True,False
5-103420-A.wav,False,False,False,True,False
5-103421-A.wav,False,False,False,True,False
5-103422-A.wav,False,False,False,True,False
5-117250-A.wav,False,False,False,True,False
5-127990-A.wav,False,False,False,True,False
1-16568-A.wav,True,False,False,False,False
1-202111-A.wav,True,False,False,False,False
1-58277-A.wav,True,False,False,False,False
1-69422-A.wav,True,False,False,False,False
1-69641-A.wav,True,False,False,False,False
1-77160-A.wav,True,False,False,False,False
1-77241-A.wav,True,False,False,False,False
1-81269-A.wav,True,False,False,False,False
2-103423-A.wav,True,False,False,False,False
2-103424-A.wav,True,False,False,False,False
2-103426-A.wav,True,False,False,False,False
2-103427-A.wav,True,False,False,False,False
2-103428-A.wav,True,False,False,False,False
2-104877-A.wav,True,False,False,False,False
2-117795-A.wav,True,False,False,False,False
2-117795-B.wav,True,False,False,False,False
3-124376-A.wav,True,False,False,False,False
3-124376-B.wav,True,False,False,False,False
3-126358-A.wav,True,False,False,False,False
3-126358-B.wav,True,False,False,False,False
3-152039-A.wav,True,False,False,False,False
3-152039-B.wav,True,False,False,False,False
3-160993-A.wav,True,False,False,False,False
3-163727-A.wav,True,False,False,False,False
4-174860-A.wav,True,False,False,False,False
4-174860-B.wav,True,False,False,False,False
4-181955-A.wav,True,False,False,False,False
4-181955-B.wav,True,False,False,False,False
4-181955-C.wav,True,False,False,False,False
4-213915-A.wav,True,False,False,False,False
4-213915-B.wav,True,False,False,False,False
4-213915-C.wav,True,False,False,False,False
5-194899-A.wav,True,False,False,False,False
5-194899-B.wav,True,False,False,False,False
5-194899-C.wav,True,False,False,False,False
5-194899-D.wav,True,False,False,False,False
5-202795-A.wav,True,False,False,False,False
5-242492-A.wav,True,False,False,False,False
5-253085-A.wav,True,False,False,False,False
5-253085-B.wav,True,False,False,False,False
1-15689-A.wav,False,False,True,False,False
1-15689-B.wav,False,False,True,False,False
1-17970-A.wav,False,False,True,False,False
1-18755-A.wav,False,False,True,False,False
1-18755-B.wav,False,False,True,False,False
1-18757-A.wav,False,False,True,False,False
1-31836-A.wav,False,False,True,False,False
1-31836-B.wav,False,False,True,False,False
2-32515-A.wav,False,False,True,False,False
2-32515-B.wav,False,False,True,False,False
2-32515-C.wav,False,False,True,False,False
2-32515-D.wav,False,False,True,False,False
2-32834-A.wav,False,False,True,False,False
2-52085-A.wav,False,False,True,False,False
2-52085-B.wav,False,False,True,False,False
2-52789-A.wav,False,False,True,False,False
3-102908-A.wav,False,False,True,False,False
3-70962-A.wav,False,False,True,False,False
3-70962-B.wav,False,False,True,False,False
3-70962-C.wav,False,False,True,False,False
3-71964-A.wav,False,False,True,False,False
3-71964-B.wav,False,False,True,False,False
3-71964-C.wav,False,False,True,False,False
3-83527-A.wav,False,False,True,False,False
4-130584-A.wav,False,False,True,False,False
4-154793-A.wav,False,False,True,False,False
4-99193-A.wav,False,False,True,False,False
4-99193-B.wav,False,False,True,False,False
4-99644-A.wav,False,False,True,False,False
4-99644-B.wav,False,False,True,False,False
4-99644-C.wav,False,False,True,False,False
4-99644-D.wav,False,False,True,False,False
5-156026-A.wav,False,False,True,False,False
5-156026-B.wav,False,False,True,False,False
5-156026-C.wav,False,False,True,False,False
5-156026-D.wav,False,False,True,False,False
5-187201-A.wav,False,False,True,False,False
5-187201-B.wav,False,False,True,False,False
5-189795-A.wav,False,False,True,False,False
5-237499-A.wav,False,False,True,False,False
